glucose,glucoseShortDelta,glucoseLongDelta,iob,iobActivity,insulinReq,basal,tick,eventualBG
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.03,0,0,3.51,0.06,0,0.45,0,139
139.05,0.01,0,3.51,0.06,0,0.45,0,139
139.18,0.11,0.03,3.51,0.06,0,0.45,0,139
139.62,0.4,0.11,3.51,0.06,0,0.45,1,140
140.61,0.98,0.28,3.51,0.06,0,0.45,1,141
142.29,1.84,0.58,3.51,0.06,0,0.45,3,142
144.73,2.91,1.02,3.51,0.06,0,0.45,4,145
147.91,4.08,1.59,3.51,0.06,0,0.45,5,148
151.75,5.24,2.28,3.51,0.06,0,0.45,6,152
156.19,6.33,3.05,3.51,0.06,0,0.45,7,156
161.12,7.3,3.89,3.51,0.06,0,0.45,8,161
166.46,8.12,4.76,3.51,0.06,0,0.45,9,166
172.1,8.78,5.61,3.51,0.06,0,0.45,9,172
177.95,9.3,6.43,3.51,0.06,0,0.45,10,178
183.94,9.67,7.18,3.51,0.06,0,0.45,10,184
189.99,9.9,7.85,3.51,0.06,0,0.45,10,190
196.04,10.01,8.41,3.51,0.06,0,0.45,10,196
202.02,10.01,8.86,3.51,0.06,0,0.45,10,202
207.89,9.91,9.2,3.51,0.06,0,0.45,10,208
213.61,9.73,9.41,3.51,0.06,0,0.45,10,214
219.13,9.48,9.52,3.51,0.06,0,0.45,9,219
224.43,9.17,9.53,3.51,0.06,0,0.45,9,224
