altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,4.9859,9.7682,0,274,0.9918,0.991
14,97,14.4995,9.8280,0,170,4.0070,4.998
16,97,16.8768,9.8051,0,222,0.9908,5.989
19,97,19.2403,9.8663,0,89,1.0525,7.042
21,97,21.6108,9.8333,0,57,1.0163,8.058
33,95,33.4028,9.8466,0,6,4.9698,13.028
35,95,35.7539,9.7313,0,330,1.0861,14.114
39,93,39.9566,9.8295,0,171,10.1025,24.216
39,93,39.9617,9.8139,0,175,0.9806,25.197
39,92,39.9669,9.8256,0,340,0.9713,26.168
39,92,39.9728,9.7987,0,31,1.9994,28.168
39,92,39.9770,9.8354,0,38,1.0362,29.204
39,91,39.9873,9.8219,0,196,4.0171,33.221
39,90,39.9863,9.8175,0,248,1.0319,34.253
39,90,39.9876,9.7785,0,303,1.0045,35.257
39,90,39.9870,9.8671,0,84,0.9759,36.233
39,90,39.9862,9.8151,0,46,1.0109,37.244
39,89,39.9830,9.8451,0,78,0.9842,38.228
39,89,39.9828,9.8722,0,2,1.0418,39.270
39,88,39.9883,9.8169,0,106,4.0143,43.284
39,88,40.0585,9.7959,0,313,1.0463,44.331
39,88,40.2279,9.8661,0,323,0.9798,45.311
39,88,41.1412,9.8422,1,321,1.0229,46.334
39,87,42.6715,9.8432,1,316,1.0311,47.365
40,87,45.0205,9.8683,2,325,1.0150,48.380
40,87,48.2368,9.8355,3,318,0.9781,49.358
40,87,52.1809,9.8612,4,320,1.0040,50.362
40,86,56.4361,9.8287,4,319,1.0323,51.394
40,86,60.8573,9.8063,4,319,0.9937,52.388
40,86,65.4842,9.7777,4,319,0.9869,53.375
40,86,70.2579,9.8441,4,319,1.0173,54.392
40,85,75.1336,9.9204,4,319,1.0126,55.405
40,85,80.0766,9.8711,4,319,1.0416,56.446
40,85,85.0631,9.8551,4,319,1.0126,57.459
40,85,90.0656,9.8278,5,319,0.9973,58.456
40,84,95.0970,9.8574,5,319,0.9553,59.411
40,84,100.1387,9.8341,5,319,0.9409,60.352
40,84,105.1971,9.7634,5,319,1.0054,61.358
40,84,110.2486,9.8697,5,319,1.0183,62.376
40,83,115.3100,9.8131,5,319,1.0525,63.428
40,83,120.3619,9.8211,5,319,1.0151,64.444
40,83,125.4215,9.7979,5,319,1.0254,65.469
40,83,130.4820,9.8907,5,319,1.0310,66.500
40,82,135.5410,9.8044,5,319,0.9878,67.488
40,82,140.5935,9.8301,5,319,0.9124,68.400
41,82,145.6529,9.8228,5,319,0.9877,69.388
41,82,150.7092,9.8300,5,319,0.9957,70.384
41,81,155.7727,9.8692,5,319,1.0784,71.462
41,81,160.8410,9.8158,5,319,1.0305,72.493
41,81,165.9102,9.8720,5,319,0.9768,73.469
41,81,170.9807,9.8161,5,319,1.0269,74.496
41,80,176.0407,9.7725,5,319,1.0634,75.560
41,80,181.0983,9.8341,5,319,0.9676,76.527
41,80,186.1537,9.8271,5,319,0.9518,77.479
41,80,191.2146,9.8010,5,319,0.9803,78.460
41,79,196.2870,9.7879,5,319,0.9962,79.456
41,79,201.3553,9.7891,5,319,1.0104,80.466
41,79,206.4167,9.8329,5,319,1.0334,81.500
41,79,211.4821,9.8118,5,319,1.1442,82.644
41,78,216.5415,9.7414,5,319,1.0829,83.727
41,78,221.6051,9.7974,5,319,0.9952,84.722
41,78,226.6649,9.8816,5,319,1.0115,85.733
41,78,231.7196,9.8320,5,319,0.9380,86.671
41,77,236.7764,9.7904,5,319,1.0018,87.673
41,77,241.8346,9.8101,5,319,0.9830,88.656
41,77,246.8983,9.8499,5,319,1.0395,89.696
42,77,251.9629,9.8343,5,319,1.0079,90.704
