altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,4.9269,9.6913,0,280,1.0427,1.042
7,98,7.3045,9.8046,0,271,0.9625,2.005
9,98,9.6822,9.8134,0,283,0.9896,2.994
19,97,19.1682,9.8305,0,67,4.0470,7.041
21,97,21.5262,9.8378,0,16,1.0539,8.095
23,96,23.8930,9.7842,0,126,0.9957,9.091
26,96,26.2538,9.7860,0,93,1.0026,10.094
28,96,28.6141,9.8416,0,83,0.9599,11.053
30,96,30.9650,9.8465,0,65,1.0036,12.057
33,95,33.3165,9.7916,0,313,1.0319,13.089
39,94,39.8710,9.7592,0,322,4.9844,18.073
39,94,39.9236,9.7566,0,298,1.0321,19.105
39,93,39.9571,9.8294,0,166,4.2113,23.317
39,93,39.9618,9.8151,0,174,0.9655,24.282
39,93,39.9667,9.8255,0,325,0.9866,25.269
39,92,39.9720,9.7987,0,26,1.9537,27.222
39,92,39.9766,9.8361,0,36,1.0637,28.286
39,91,39.9870,9.8218,0,198,4.0817,32.368
39,91,39.9863,9.8152,0,247,1.0104,33.378
39,90,39.9880,9.7760,0,307,0.9116,34.290
39,90,39.9875,9.8668,0,79,0.9490,35.239
39,90,39.9866,9.8159,0,46,0.9784,36.217
39,90,39.9832,9.8431,0,81,0.9647,37.182
39,89,39.9836,9.8708,0,0,1.0226,38.205
39,89,39.9868,9.8156,0,89,4.1108,42.315
39,88,39.9899,9.7951,0,319,1.0203,43.336
39,88,39.9907,9.8215,0,45,1.1020,44.438
39,88,40.0627,9.8300,0,246,1.0596,45.497
39,88,40.4059,9.8966,0,320,0.9711,46.468
40,87,41.4894,9.8295,1,321,0.9264,47.395
40,87,43.2302,9.9785,1,315,0.9703,48.365
40,87,45.8288,9.9673,2,324,0.9768,49.342
40,87,49.3105,9.9049,3,319,1.0665,50.408
40,86,53.4248,9.7041,4,320,1.0606,51.469
41,86,57.7043,9.7486,4,319,0.9760,52.445
41,86,62.1817,9.8378,4,319,1.0491,53.494
41,86,66.8566,9.9215,4,318,0.9980,54.492
41,85,71.6645,9.8699,4,318,0.9516,55.444
42,85,76.5644,9.8597,4,318,0.9886,56.432
42,85,81.5099,9.8277,4,319,1.0363,57.469
42,85,86.5018,9.8670,4,319,1.0229,58.492
42,84,91.5161,9.8309,5,319,0.9732,59.465
43,84,96.5606,9.7677,5,319,1.0251,60.490
43,84,101.6013,9.8624,5,319,0.9895,61.479
43,84,106.6534,9.8112,5,319,1.0235,62.503
43,83,111.7006,9.8201,5,319,1.0274,63.530
44,83,116.7570,9.7966,5,319,0.9954,64.526
44,83,121.8157,9.9025,5,319,1.0115,65.537
44,83,126.8748,9.8139,5,319,1.0433,66.581
44,82,131.9263,9.8414,5,319,1.0518,67.632
44,82,136.9827,9.8199,5,319,0.9884,68.621
45,82,142.0355,9.8369,5,319,0.9380,69.559
45,82,147.1001,9.8701,5,319,1.0185,70.577
45,81,152.1710,9.8243,5,319,1.0157,71.593
45,81,157.2382,9.8663,5,319,0.9932,72.586
46,81,162.3069,9.8281,5,319,1.0620,73.648
46,81,167.3611,9.7647,5,319,0.9982,74.646
46,80,172.4200,9.8275,5,319,1.0415,75.688
46,80,177.4743,9.8196,5,319,0.9644,76.652
47,80,182.5314,9.7955,5,319,0.9639,77.616
47,80,187.5998,9.7792,5,319,1.0153,78.631
47,79,192.6677,9.7889,5,319,1.0927,79.724
47,79,197.7274,9.8271,5,319,1.0625,80.786
48,79,202.7930,9.8125,5,319,0.9364,81.723
48,79,207.8539,9.7413,5,319,1.0328,82.756
48,78,212.9147,9.7928,5,319,0.9777,83.733
48,78,217.9740,9.8726,5,319,1.0254,84.759
49,78,223.0311,9.8428,5,319,1.0185,85.777
49,78,228.0844,9.7817,5,319,1.0268,86.804
49,77,233.1411,9.8233,5,319,1.0004,87.805
49,77,238.2033,9.8497,5,319,0.9659,88.770
