altitude,battery,distance,accel,speed,course,timeChange,flightTime
4,99,5.0706,9.7646,0,272,0.9898,0.989
16,97,16.9466,9.8322,0,72,5.0539,6.043
19,97,19.3077,9.8351,0,23,1.0173,7.061
21,97,21.6779,9.7847,0,123,1.0219,8.083
24,96,24.0402,9.7847,0,99,1.0087,9.091
26,96,26.4036,9.8395,0,108,1.0058,10.097
28,96,28.7574,9.8455,0,83,0.9941,11.091
31,96,31.1110,9.7916,0,311,0.9906,12.082
39,94,39.7390,9.6142,0,324,5.0575,17.139
39,94,39.8734,9.7280,0,294,0.9625,18.102
39,93,39.9556,9.8318,0,164,4.1341,22.236
39,93,39.9604,9.8168,0,160,1.0263,23.262
39,93,39.9646,9.8287,0,328,1.0043,24.266
39,92,39.9703,9.7987,0,21,1.9177,26.184
39,92,39.9745,9.8342,0,37,1.0408,27.225
39,91,39.9867,9.8223,0,203,4.0634,31.288
39,91,39.9857,9.8169,0,241,1.0038,32.292
39,91,39.9875,9.7774,0,289,0.9669,33.259
39,90,40.2824,9.8995,0,327,2.0248,35.284
40,90,41.2697,9.8858,1,326,1.0066,36.291
40,90,42.8965,9.9889,1,320,1.0739,37.364
40,89,45.3700,9.9184,2,329,1.0357,38.400
40,89,48.7101,9.9307,3,323,0.9670,39.367
40,89,52.7423,9.7972,4,324,0.9888,40.356
41,89,57.0005,9.7912,4,323,1.0117,41.368
41,88,61.4429,9.7982,4,323,0.9801,42.348
41,88,66.0825,9.8219,4,323,1.0638,43.412
41,88,70.8618,9.8330,4,323,1.0072,44.419
41,88,75.7408,9.8306,4,323,1.0241,45.443
42,87,80.6792,9.8152,4,323,0.9769,46.420
42,87,85.6575,9.8006,4,323,0.9504,47.370
42,87,90.6607,9.8352,5,324,1.0664,48.436
42,87,95.6907,9.8458,5,324,1.0346,49.471
42,86,100.7284,9.7986,5,324,0.9732,50.444
43,86,105.7721,9.7771,5,324,0.9828,51.427
43,86,110.8205,9.8359,5,324,0.9680,52.395
43,86,115.8807,9.9141,5,324,1.0772,53.472
43,85,120.9397,9.8709,5,324,1.0291,54.501
44,85,126.0029,9.8571,5,324,1.0104,55.512
44,85,131.0534,9.8224,5,324,0.9925,56.504
44,85,136.1126,9.8619,5,324,0.9969,57.501
44,84,141.1692,9.8226,5,324,1.0329,58.534
44,84,146.2372,9.7651,5,324,0.9681,59.502
45,84,151.2927,9.8560,5,324,1.0022,60.504
45,84,156.3532,9.8161,5,324,1.0062,61.511
45,83,161.4040,9.8272,5,324,1.0766,62.587
45,83,166.4610,9.8055,5,324,1.0500,63.637
45,83,171.5167,9.8966,5,324,1.0073,64.645
46,83,176.5702,9.8109,5,324,0.9597,65.604
