glucose,glucoseShortDelta,glucoseLongDelta,iob,iobActivity,insulinReq,basal,tick,eventualBG
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
136.45,0,0,3.51,0.06,0,0.45,31,161
161.45,19.03,5.11,3.51,0.06,0,0.45,31,161
136.45,-8.33,0,3.51,0.06,0,0.45,-21,136
136.45,-4.17,0,3.51,0.06,0,0.45,-10,136
136.45,-2.78,0,3.51,0.06,0,0.45,0,136
163.45,18.47,4.84,3.51,0.06,0,0.45,34,163
136.45,-10.67,0,3.51,0.06,0,0.45,-22,136
136.45,-4.5,-0.77,3.51,0.06,0,0.45,-11,136
136.45,-3,-0.66,3.51,0.06,0,0.45,0,136
136.45,-2.25,-0.58,3.51,0.06,0,0.45,0,136
136.45,-1.8,-0.51,3.51,0.06,0,0.45,0,136
136.45,0,-1.3,3.51,0.06,0,0.45,0,136
136.45,0,-1.14,3.51,0.06,0,0.45,0,136
136.45,0,-1.01,3.51,0.06,0,0.45,0,136
136.45,0,-0.91,3.51,0.06,0,0.45,0,136
136.45,0,-0.83,3.51,0.06,0,0.45,0,136
136.45,0,-0.45,3.51,0.06,0,0.45,0,136
136.45,0,-0.42,3.51,0.06,0,0.45,0,136
136.45,0,-0.38,3.51,0.06,0,0.45,0,136
136.45,0,-0.36,3.51,0.06,0,0.45,0,136
136.45,0,0,3.51,0.06,0,0.45,0,136
99.45,-28.16,-6.63,3.51,0.06,0,0,-46,-77
136.45,12.33,0,3.51,0.06,0,0.45,31,136
136.46,6.18,0,3.51,0.06,0,0.45,15,136
136.52,4.16,0.01,3.51,0.06,0,0.45,0,137
136.66,3.22,0.04,3.51,0.06,0,0.45,0,137
136.94,2.76,0.09,3.51,0.06,0,0.45,0,137
137.44,0.54,1.32,3.51,0.06,0,0.45,1,137
138.17,0.87,1.29,3.51,0.06,0,0.45,1,138
139.18,1.26,1.35,3.51,0.06,0,0.45,2,139
140.47,1.7,1.48,3.51,0.06,0,0.45,2,140
142.04,2.15,1.68,3.51,0.06,0,0.45,3,142
143.88,2.61,1.93,3.51,0.06,0,0.45,3,144
145.96,3.04,2.23,3.51,0.06,0,0.45,3,146
148.25,3.43,2.55,3.51,0.06,0,0.45,4,148
179.72,25.85,8.08,3.51,0.06,0,0.45,40,198
153.33,-5.59,2.76,3.51,0.06,0,0.45,-20,153
156.06,-0.51,3.11,3.51,0.06,0,0.45,-8,156
158.86,1.28,3.43,3.51,0.06,0,0.45,5,159
161.7,2.21,3.72,3.51,0.06,0,0.45,5,162
164.55,2.77,3.97,3.51,0.06,0,0.45,5,165
167.39,4.72,3.28,3.51,0.06,0,0.45,5,167
198.18,26,8.58,3.51,0.06,0,0.45,40,217
172.9,-4.71,3.76,3.51,0.06,0,0.45,-19,173
175.53,-0.15,3.89,3.51,0.06,0,0.45,-7,176
178.07,1.26,3.96,3.51,0.06,0,0.45,4,178
180.48,1.87,3.98,3.51,0.06,0,0.45,4,180
182.76,2.14,3.95,3.51,0.06,0,0.45,4,183
184.9,3.79,3.02,3.51,0.06,0,0.45,4,185
186.9,3.56,3.03,3.51,0.06,0,0.45,3,187
188.74,3.32,3.35,3.51,0.06,0,0.45,3,189
190.44,3.07,3.23,3.51,0.06,0,0.45,3,190
219.97,24.13,8.11,3.51,0.06,0,0.45,38,228
193.35,-6.77,2.92,3.51,0.06,0,0.45,-21,193
194.58,-2.36,2.72,3.51,0.06,0,0.45,-10,195
158.66,-29.22,-4.11,3.51,0.06,0,0,-44,-3
196.58,11.8,2.3,3.51,0.06,0,0.45,32,197
197.37,5.85,2.43,3.51,0.06,0,0.45,17,197
198.02,5.43,1.32,3.51,0.06,0,0.45,1,198
198.53,4.17,1.2,3.51,0.06,0,0.45,1,199
198.92,3.33,1.05,3.51,0.06,0,0.45,1,199
199.19,0.65,2.03,3.51,0.06,0,0.45,0,199
199.34,0.45,1.69,3.51,0.06,0,0.45,0,199
199.38,0.26,1.4,3.51,0.06,0,0.45,0,199
199.32,0.08,1.13,3.51,0.06,0,0.45,0,199
199.17,-0.09,0.88,3.51,0.06,0,0.45,0,199
198.93,-0.25,0.65,3.51,0.06,0,0.45,0,199
198.6,-0.4,0.79,3.51,0.06,0,0.45,-1,199
198.2,-0.54,0.57,3.51,0.06,0,0.45,-1,198
197.73,-0.66,0.37,3.51,0.06,0,0.45,-1,198
197.19,-0.78,-0.28,3.51,0.06,0,0.45,-1,197
196.59,-0.89,-0.42,3.51,0.06,0,0.45,-1,197
195.94,-0.99,-0.55,3.51,0.06,0,0.45,-1,196
195.24,-1.08,-0.68,3.51,0.06,0,0.45,-1,195
194.5,-1.16,-0.79,3.51,0.06,0,0.45,-1,195
193.72,-1.23,-0.9,3.51,0.06,0,0.45,-1,194
192.9,-1.3,-0.99,3.51,0.06,0,0.45,-1,193
192.05,-1.36,-1.08,3.51,0.06,0,0.45,-1,192
191.17,-1.41,-1.16,3.51,0.06,0,0.45,-1,191
190.27,-1.46,-1.23,3.51,0.06,0,0.45,-1,190
178.35,-9.87,-3.27,3.51,0.06,0,0.45,-15,178
188.42,2.14,-1.35,3.51,0.06,0,0.45,8,188
187.47,0.28,-1.4,3.51,0.06,0,0.45,3,187
186.51,-0.36,-1.45,3.51,0.06,0,0.45,-2,187
185.54,-0.68,-1.49,3.51,0.06,0,0.45,-2,186
184.57,-0.88,-1.52,3.51,0.06,0,0.45,-2,185
183.59,-1.62,-1.21,3.51,0.06,0,0.45,-2,184
207.61,17.4,3.21,3.51,0.06,0,0.45,30,208
181.63,-9.96,-1.33,3.51,0.06,0,0.45,-22,182
180.65,-5.8,-1.37,3.51,0.06,0,0.45,-12,181
179.68,-4.4,-1.4,3.51,0.06,0,0.45,-2,180
178.72,-3.7,-1.43,3.51,0.06,0,0.45,-2,179
177.78,-3.25,-1.44,3.51,0.06,0,0.45,-2,178
176.91,-1.52,-2.21,3.51,0.06,0,0.45,-1,177
176.16,-1.4,-2.07,3.51,0.06,0,0.45,-1,176
175.56,-1.21,-2.07,3.51,0.06,0,0.45,-1,176
175.17,-0.94,-1.9,3.51,0.06,0,0.45,-1,175
175.01,-0.62,-1.7,3.51,0.06,0,0.45,0,175
175.08,-0.26,-1.48,3.51,0.06,0,0.45,0,175
175.38,0.12,-1.21,3.51,0.06,0,0.45,0,175
175.91,0.5,-0.93,3.51,0.06,0,0.45,1,176
176.63,0.85,-0.62,3.51,0.06,0,0.45,1,177
177.52,1.17,0.01,3.51,0.06,0,0.45,1,178
178.54,1.44,0.31,3.51,0.06,0,0.45,2,179
179.65,1.66,0.6,3.51,0.06,0,0.45,2,180
180.83,1.82,0.88,3.51,0.06,0,0.45,2,181
182.04,1.93,1.13,3.51,0.06,0,0.45,2,182
183.25,1.98,1.34,3.51,0.06,0,0.45,2,183
184.42,1.98,1.51,3.51,0.06,0,0.45,2,184
185.54,1.93,1.64,3.51,0.06,0,0.45,2,186
186.57,1.83,1.72,3.51,0.06,0,0.45,2,187
187.5,1.69,1.75,3.51,0.06,0,0.45,2,188
188.3,1.53,1.74,3.51,0.06,0,0.45,1,188
208.98,16.55,5.27,3.51,0.06,0,0.45,26,209
189.51,-5.56,1.59,3.51,0.06,0,0.45,-16,190
189.89,-2.46,1.46,3.51,0.06,0,0.45,-8,190
190.11,-1.6,1.3,3.51,0.06,0,0.45,0,190
190.18,-1.3,1.12,3.51,0.06,0,0.45,0,190
190.08,-1.23,0.91,3.51,0.06,0,0.45,0,190
224.84,26.49,6.35,3.51,0.06,0,0.45,43,247
189.43,-12.08,-0.07,3.51,0.06,0,0,-30,-19
188.89,-6.5,-0.25,3.51,0.06,0,0.45,-15,189
188.2,-4.8,-0.44,3.51,0.06,0,0.45,-1,188
187.37,-4.06,-0.64,3.51,0.06,0,0.45,-1,187
186.42,-3.7,-0.85,3.51,0.06,0,0.45,-2,186
185.36,-1.57,-2.14,3.51,0.06,0,0.45,-2,185
184.18,-1.77,-2.19,3.51,0.06,0,0.45,-2,184
182.91,-1.95,-2.28,3.51,0.06,0,0.45,-2,183
181.54,-2.11,-2.13,3.51,0.06,0,0.45,-2,182
180.1,-2.27,-2.26,3.51,0.06,0,0.45,-2,180
178.58,-2.4,-2.38,3.51,0.06,0,0.45,-2,179
177,-2.52,-2.51,3.51,0.06,0,0.45,-3,177
